[2026-01-22 18:03:20,585: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 18:03:20,587: INFO: common: created directory at: artifacts]
[2026-01-22 18:03:20,587: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 18:07:28,409: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 18:07:28,410: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 18:07:31,093: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 18:07:31,095: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 18:07:31,096: INFO: common: created directory at: artifacts]
[2026-01-22 18:07:31,098: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 18:11:54,305: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 18:11:54,305: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 18:11:57,018: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 18:11:57,020: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 18:11:57,021: INFO: common: created directory at: artifacts]
[2026-01-22 18:11:57,022: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 18:11:57,067: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2026-01-22 18:11:57,078: INFO: 2701345188: Model saved at: artifacts\prepare_base_model\base_model.h5]
[2026-01-22 18:13:49,303: INFO: utils: Note: NumExpr detected 22 cores but "NUMEXPR_MAX_THREADS" not set, so enforcing safe limit of 16.]
[2026-01-22 18:13:49,303: INFO: utils: NumExpr defaulting to 16 threads.]
[2026-01-22 18:13:52,103: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-01-22 18:13:52,105: INFO: common: yaml file: params.yaml loaded successfully]
[2026-01-22 18:13:52,107: INFO: common: created directory at: artifacts]
[2026-01-22 18:13:52,107: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-01-22 18:13:52,152: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
